POST,1681421946988,1681421951018,4030,200
POST,1681421946987,1681421951018,4031,200
POST,1681421946988,1681421951018,4030,200
POST,1681421946987,1681421951018,4031,200
POST,1681421946987,1681421951020,4033,200
POST,1681421946988,1681421951059,4071,200
POST,1681421946988,1681421951063,4075,200
POST,1681421946988,1681421951065,4077,200
POST,1681421946988,1681421951066,4078,200
POST,1681421946988,1681421951069,4081,200
POST,1681421951018,1681421951073,55,200
POST,1681421951018,1681421951076,58,200
POST,1681421951059,1681421951105,46,200
POST,1681421951018,1681421951112,94,200
POST,1681421951018,1681421951113,95,200
POST,1681421951073,1681421951121,48,200
POST,1681421951020,1681421951124,104,200
POST,1681421951063,1681421951159,96,200
POST,1681421951069,1681421951171,102,200
POST,1681421951124,1681421951172,48,200
POST,1681421951112,1681421951173,61,200
POST,1681421951065,1681421951176,111,200
POST,1681421951113,1681421951177,64,200
POST,1681421951067,1681421951180,113,200
POST,1681421951076,1681421951196,120,200
POST,1681421951105,1681421951209,104,200
POST,1681421951121,1681421951220,99,200
POST,1681421951173,1681421951225,52,200
POST,1681421951171,1681421951226,55,200
POST,1681421951172,1681421951228,56,200
POST,1681421951177,1681421951228,51,200
POST,1681421951159,1681421951267,108,200
POST,1681421951176,1681421951278,102,200
POST,1681421951180,1681421951291,111,200
POST,1681421951210,1681421951305,95,200
POST,1681421951196,1681421951308,112,200
POST,1681421951220,1681421951318,98,200
POST,1681421951267,1681421951318,51,200
POST,1681421951228,1681421951329,101,200
POST,1681421951225,1681421951329,104,200
POST,1681421951228,1681421951333,105,200
POST,1681421951278,1681421951335,57,200
POST,1681421951226,1681421951336,110,200
POST,1681421951291,1681421951346,55,200
POST,1681421951305,1681421951352,47,200
POST,1681421951308,1681421951359,51,200
POST,1681421951318,1681421951363,45,200
POST,1681421951329,1681421951382,53,200
POST,1681421951333,1681421951388,55,200
POST,1681421951318,1681421951406,88,200
POST,1681421951359,1681421951411,52,200
POST,1681421951363,1681421951414,51,200
POST,1681421951329,1681421951415,86,200
POST,1681421951382,1681421951431,49,200
POST,1681421951336,1681421951435,99,200
POST,1681421951388,1681421951437,49,200
POST,1681421951335,1681421951438,103,200
POST,1681421951346,1681421951453,107,200
POST,1681421951352,1681421951454,102,200
POST,1681421951414,1681421951458,44,200
POST,1681421951415,1681421951464,49,200
POST,1681421951411,1681421951467,56,200
POST,1681421951438,1681421951487,49,200
POST,1681421951437,1681421951489,52,200
POST,1681421951406,1681421951497,91,200
POST,1681421951431,1681421951524,93,200
POST,1681421951487,1681421951536,49,200
POST,1681421951435,1681421951538,103,200
POST,1681421951453,1681421951546,93,200
POST,1681421951458,1681421951550,92,200
POST,1681421951454,1681421951560,106,200
POST,1681421951464,1681421951560,96,200
POST,1681421951467,1681421951575,108,200
POST,1681421951536,1681421951584,48,200
POST,1681421951497,1681421951595,98,200
POST,1681421951489,1681421951597,108,200
POST,1681421951550,1681421951605,55,200
POST,1681421951560,1681421951611,51,200
POST,1681421951524,1681421951622,98,200
POST,1681421951575,1681421951641,66,200
POST,1681421951538,1681421951642,104,200
POST,1681421951546,1681421951642,96,200
POST,1681421951595,1681421951645,50,200
POST,1681421951605,1681421951650,45,200
POST,1681421951611,1681421951661,50,200
POST,1681421951560,1681421951673,113,200
POST,1681421951597,1681421951688,91,200
POST,1681421951584,1681421951688,104,200
POST,1681421951642,1681421951690,48,200
POST,1681421951650,1681421951698,48,200
POST,1681421951661,1681421951706,45,200
POST,1681421951622,1681421951715,93,200
POST,1681421951641,1681421951731,90,200
POST,1681421951642,1681421951735,93,200
POST,1681421951688,1681421951738,50,200
POST,1681421951688,1681421951741,53,200
POST,1681421951699,1681421951747,48,200
POST,1681421951645,1681421951768,123,200
POST,1681421951673,1681421951781,108,200
POST,1681421951735,1681421951783,48,200
